I II V1 V2 V3 V4 V5 V6 III aVR aVL aVF
4.0 5.0 2.0 -4.0 0.0 -4.0 -2.0 -4.0 -3.0 -4.5 1.5 -1.5
12.0 8.0 2.0 -3.0 -1.0 -8.0 -2.0 0.0 -8.0 -11.5 4.0 -4.0
13.0 6.0 3.0 -2.0 -2.0 -1.0 -4.0 -2.0 -10.0 -8.0 5.0 -5.0
12.0 6.0 -0.0 0.0 -1.0 -4.0 -2.0 -1.0 -9.0 -8.5 4.5 -4.5
8.0 6.0 4.0 5.0 5.0 4.0 1.0 -2.0 -2.0 -7.0 1.0 -1.0
5.0 4.0 8.0 6.0 4.0 10.0 -1.0 -2.0 3.0 -3.5 -1.5 1.5
-3.0 3.0 7.0 5.0 6.0 8.0 -1.0 -3.0 4.0 -1.0 -2.0 2.0
-4.0 2.0 13.0 6.0 4.0 8.0 -0.0 0.0 3.0 0.5 -1.5 1.5
-5.0 -2.0 9.0 6.0 6.0 7.0 -0.0 -2.0 3.0 3.0 -1.5 1.5
-1.0 -3.0 2.0 3.0 1.0 7.0 -4.0 -5.0 4.0 2.0 -2.0 2.0
-3.0 -5.0 -4.0 -2.0 -6.0 -3.0 -6.0 -7.0 -2.0 4.0 1.0 -1.0
3.0 -5.0 -6.0 -8.0 -8.0 -5.0 -12.0 -9.0 -8.0 -2.0 4.0 -4.0
5.0 -4.0 -6.0 -9.0 -9.0 -5.0 -10.0 -10.0 -16.0 -1.0 8.0 -8.0
6.0 -7.0 -5.0 -9.0 -10.0 -15.0 -14.0 -11.0 -12.0 -3.0 6.0 -6.0
4.0 -8.0 3.0 -7.0 -8.0 -4.0 -11.0 -9.0 -11.0 -1.0 5.5 -5.5
-3.0 -9.0 5.0 -7.0 -8.0 -5.0 -5.0 -10.0 -5.0 6.0 2.5 -2.5
-13.0 -7.0 4.0 -3.0 -5.0 1.0 -14.0 -10.0 2.0 10.5 -1.0 1.0
-13.0 -6.0 7.0 0.0 -3.0 4.0 -15.0 -7.0 3.0 13.5 -1.5 1.5
-17.0 -8.0 2.0 -2.0 -5.0 -3.0 -13.0 -10.0 6.0 15.5 -3.0 3.0
-13.0 -10.0 -6.0 -7.0 -9.0 -6.0 -15.0 -14.0 4.0 13.0 -2.0 2.0
-10.0 -11.0 -8.0 -12.0 -13.0 -14.0 -20.0 -16.0 -9.0 9.5 4.5 -4.5
-1.0 -12.0 -7.0 -13.0 -15.0 -15.0 -17.0 -16.0 -9.0 4.0 4.5 -4.5
1.0 -10.0 -8.0 -16.0 -15.0 -18.0 -20.0 -17.0 -9.0 5.0 4.5 -4.5
1.0 -10.0 -7.0 -14.0 -15.0 -13.0 -24.0 -13.0 -13.0 5.5 6.5 -6.5
7.0 -10.0 -2.0 -10.0 -9.0 -2.0 -18.0 -11.0 -12.0 3.5 6.0 -6.0
-9.0 -11.0 1.0 -4.0 -7.0 1.0 -17.0 -9.0 -4.0 8.5 2.0 -2.0
-14.0 -9.0 3.0 -2.0 -5.0 6.0 -10.0 -9.0 2.0 14.0 -1.0 1.0
-15.0 -9.0 4.0 -1.0 -3.0 8.0 -10.0 -7.0 4.0 15.0 -2.0 2.0
-15.0 -12.0 3.0 -2.0 -6.0 -0.0 -15.0 -8.0 -0.0 16.5 0.0 -0.0
-13.0 -12.0 2.0 -5.0 -8.0 -3.0 -16.0 -12.0 -1.0 13.5 0.5 -0.5
-15.0 -12.0 -4.0 -12.0 -12.0 -7.0 -16.0 -14.0 -2.0 12.5 1.0 -1.0
-7.0 -10.0 -7.0 -15.0 -14.0 -8.0 -18.0 -15.0 -8.0 9.5 4.0 -4.0
-5.0 -10.0 -8.0 -13.0 -14.0 -7.0 -19.0 -15.0 -9.0 8.0 4.5 -4.5
-11.0 -8.0 -7.0 -10.0 -12.0 -4.0 -16.0 -13.0 -6.0 9.0 3.0 -3.0
-2.0 -9.0 -0.0 -7.0 -11.0 -1.0 -15.0 -10.0 -5.0 6.0 2.5 -2.5
-12.0 -11.0 3.0 -4.0 -8.0 5.0 -10.0 -10.0 2.0 12.0 -1.0 1.0
-17.0 -14.0 4.0 -2.0 -6.0 4.0 -17.0 -8.0 4.0 16.0 -2.0 2.0
-19.0 -15.0 3.0 -0.0 -4.0 12.0 -12.0 -9.0 6.0 18.0 -3.0 3.0
-18.0 -14.0 -1.0 -4.0 -7.0 3.0 -13.0 -11.0 5.0 18.5 -2.5 2.5
-15.0 -12.0 -2.0 -4.0 -7.0 1.0 -16.0 -13.0 1.0 14.0 -0.5 0.5
-7.0 -11.0 -6.0 -13.0 -11.0 -4.0 -18.0 -13.0 -8.0 8.0 4.0 -4.0
-0.0 -10.0 -10.0 -14.0 -15.0 -11.0 -21.0 -11.0 -10.0 5.0 5.0 -5.0
-1.0 -12.0 -11.0 -14.0 -15.0 -12.0 -20.0 -14.0 -9.0 5.5 4.5 -4.5
-2.0 -10.0 -8.0 -12.0 -14.0 -7.0 -18.0 -15.0 -9.0 6.0 4.5 -4.5
-2.0 -9.0 -1.0 -10.0 -11.0 -2.0 -15.0 -14.0 -8.0 4.5 4.0 -4.0
-12.0 -11.0 -1.0 -4.0 -7.0 2.0 -14.0 -13.0 1.0 13.5 -0.5 0.5
-19.0 -12.0 1.0 -3.0 -6.0 2.0 -13.0 -13.0 6.0 13.5 -3.0 3.0
-19.0 -12.0 3.0 -2.0 -6.0 6.0 -14.0 -12.0 7.0 14.0 -3.5 3.5
-22.0 -13.0 2.0 -2.0 -6.0 4.0 -13.0 -13.0 9.0 18.0 -4.5 4.5
-20.0 -14.0 -0.0 -5.0 -8.0 1.0 -15.0 -11.0 6.0 16.5 -3.0 3.0
-19.0 -14.0 -3.0 -9.0 -10.0 -9.0 -16.0 -13.0 0.0 16.0 -0.0 0.0
-2.0 -14.0 -4.0 -12.0 -13.0 -6.0 -17.0 -14.0 -8.0 6.0 4.0 -4.0
-13.0 -6.0 -8.0 -6.0 -12.0 -17.0 -19.0 -15.0 2.0 11.0 -1.0 1.0
-10.0 -10.0 -8.0 -6.0 -14.0 -23.0 -25.0 -19.0 4.0 9.0 -2.0 2.0
-10.0 -11.0 9.0 0.0 -7.0 4.0 -16.0 -15.0 -4.0 14.0 2.0 -2.0
-16.0 -11.0 12.0 9.0 1.0 8.0 -16.0 -16.0 6.0 17.0 -3.0 3.0
-37.0 -15.0 10.0 14.0 7.0 -2.0 -23.0 -22.0 27.0 25.0 -13.5 13.5
-19.0 -14.0 15.0 14.0 6.0 7.0 -15.0 -20.0 2.0 18.0 -1.0 1.0
-13.0 -7.0 21.0 18.0 10.0 16.0 -5.0 -10.0 2.0 11.0 -1.0 1.0
-28.0 -13.0 11.0 18.0 16.0 8.0 -10.0 -11.0 16.0 21.0 -8.0 8.0
-7.0 -15.0 5.0 18.0 19.0 -4.0 -10.0 -13.0 -14.0 11.0 7.0 -7.0
18.0 -5.0 11.0 28.0 25.0 37.0 15.0 5.0 -23.0 -4.0 11.5 -11.5
2.0 -5.0 19.0 50.0 45.0 42.0 22.0 13.0 -11.0 3.0 5.5 -5.5
7.0 -7.0 18.0 63.0 53.0 53.0 30.0 15.0 -15.0 -1.5 7.5 -7.5
31.0 -1.0 27.0 71.0 57.0 79.0 56.0 27.0 -33.0 -15.0 16.5 -16.5
31.0 9.0 40.0 81.0 73.0 109.0 73.0 44.0 -18.0 -18.0 9.0 -9.0
25.0 13.0 25.0 72.0 76.0 96.0 74.0 48.0 -2.0 -15.0 1.0 -1.0
35.0 15.0 9.0 48.0 59.0 88.0 79.0 57.0 -14.0 -30.0 7.0 -7.0
41.0 32.0 5.0 47.0 65.0 98.0 99.0 79.0 -15.0 -37.5 7.5 -7.5
39.0 40.0 -10.0 34.0 61.0 95.0 101.0 91.0 -5.0 -34.5 2.5 -2.5
64.0 52.0 -25.0 12.0 53.0 86.0 103.0 91.0 -11.0 -55.0 5.5 -5.5
76.0 59.0 -33.0 -4.0 47.0 97.0 116.0 103.0 -21.0 -64.5 10.5 -10.5
48.0 57.0 -49.0 -16.0 43.0 78.0 98.0 95.0 3.0 -52.5 -1.5 1.5
34.0 48.0 -53.0 -45.0 12.0 49.0 66.0 73.0 25.0 -42.5 -12.5 12.5
36.0 37.0 -49.0 -71.0 -23.0 13.0 25.0 40.0 13.0 -34.5 -6.5 6.5
-6.0 35.0 -44.0 -81.0 -36.0 -3.0 -7.0 19.0 37.0 -13.5 -18.5 18.5
-33.0 28.0 -62.0 -94.0 -58.0 -37.0 -36.0 3.0 49.0 10.5 -24.5 24.5
-16.0 18.0 -56.0 -102.0 -66.0 -47.0 -44.0 -5.0 33.0 2.5 -16.5 16.5
-5.0 3.0 -60.0 -102.0 -73.0 -51.0 -47.0 -17.0 17.0 6.5 -8.5 8.5
-28.0 -15.0 -66.0 -106.0 -84.0 -74.0 -69.0 -40.0 7.0 23.5 -3.5 3.5
-11.0 -29.0 -83.0 -115.0 -94.0 -89.0 -77.0 -46.0 -24.0 22.5 12.0 -12.0
4.0 -39.0 -81.0 -106.0 -94.0 -71.0 -67.0 -45.0 -46.0 19.0 23.0 -23.0
-14.0 -38.0 -68.0 -100.0 -88.0 -72.0 -68.0 -43.0 -24.0 26.0 12.0 -12.0
-22.0 -40.0 -65.0 -87.0 -80.0 -67.0 -59.0 -43.0 -15.0 31.0 7.5 -7.5
-10.0 -31.0 -55.0 -72.0 -69.0 -49.0 -46.0 -34.0 -19.0 19.0 9.5 -9.5
-19.0 -24.0 -41.0 -50.0 -52.0 -27.0 -37.0 -26.0 -6.0 20.0 3.0 -3.0
-34.0 -26.0 -45.0 -49.0 -44.0 -41.0 -41.0 -30.0 0.0 27.0 -0.0 0.0
-22.0 -26.0 -43.0 -43.0 -42.0 -40.0 -39.0 -27.0 -5.0 21.0 2.5 -2.5
-14.0 -23.0 -34.0 -39.0 -37.0 -35.0 -36.0 -25.0 -9.0 19.0 4.5 -4.5
-12.0 -22.0 -33.0 -36.0 -33.0 -37.0 -33.0 -23.0 -12.0 16.0 6.0 -6.0
-3.0 -19.0 -34.0 -33.0 -32.0 -40.0 -33.0 -21.0 -16.0 10.0 8.0 -8.0
2.0 -15.0 -26.0 -30.0 -29.0 -34.0 -29.0 -20.0 -22.0 10.0 11.0 -11.0
4.0 -12.0 -28.0 -22.0 -22.0 -25.0 -23.0 -16.0 -18.0 5.0 9.0 -9.0
4.0 -12.0 -20.0 -18.0 -19.0 -20.0 -18.0 -15.0 -17.0 5.0 8.5 -8.5
0.0 -10.0 -16.0 -15.0 -16.0 -8.0 -15.0 -13.0 -11.0 5.0 5.5 -5.5
-2.0 -6.0 -10.0 -9.0 -11.0 -2.0 -13.0 -9.0 -1.0 2.0 0.5 -0.5
-10.0 -5.0 -5.0 -4.0 -4.0 4.0 -9.0 -7.0 9.0 7.5 -4.5 4.5
-14.0 -3.0 -3.0 -2.0 -3.0 7.0 -11.0 -9.0 11.0 11.0 -5.5 5.5
-17.0 -6.0 -3.0 -1.0 -5.0 3.0 -12.0 -7.0 5.0 9.5 -2.5 2.5
-14.0 -7.0 -3.0 -2.0 -6.0 -0.0 -15.0 -10.0 8.0 11.0 -4.0 4.0
-11.0 -5.0 -9.0 -6.0 -10.0 -4.0 -16.0 -10.0 -3.0 10.0 1.5 -1.5
-1.0 -5.0 -9.0 -8.0 -12.0 -8.0 -15.0 -13.0 -4.0 3.5 2.0 -2.0
1.0 -4.0 -11.0 -12.0 -10.0 -10.0 -16.0 -11.0 -5.0 2.5 2.5 -2.5
4.0 -3.0 -11.0 -12.0 -12.0 -9.0 -14.0 -10.0 -7.0 -0.5 3.5 -3.5
6.0 -1.0 -10.0 -8.0 -6.0 -1.0 -10.0 -9.0 -4.0 -2.5 2.0 -2.0
-2.0 -1.0 -9.0 -3.0 -5.0 3.0 -3.0 -6.0 -2.0 0.0 1.0 -1.0
-7.0 -0.0 -5.0 -0.0 -2.0 6.0 -5.0 -4.0 7.0 3.5 -3.5 3.5
-10.0 1.0 -3.0 2.0 -3.0 11.0 -4.0 -6.0 11.0 5.0 -5.5 5.5
-10.0 -1.0 -1.0 4.0 -3.0 7.0 -9.0 -6.0 13.0 6.0 -6.5 6.5
-10.0 -4.0 2.0 2.0 -3.0 -3.0 -13.0 -7.0 8.0 7.0 -4.0 4.0
-5.0 -4.0 -4.0 -3.0 -5.0 -9.0 -15.0 -5.0 -1.0 5.0 0.5 -0.5
-4.0 -4.0 -9.0 -8.0 -8.0 -12.0 -13.0 -9.0 -5.0 2.5 2.5 -2.5
2.0 -3.0 -12.0 -8.0 -11.0 -6.0 -10.0 -11.0 -9.0 0.5 4.5 -4.5
-1.0 -1.0 -5.0 -7.0 -10.0 -5.0 -10.0 -11.0 -5.0 1.0 2.5 -2.5
2.0 1.0 -4.0 -4.0 -6.0 0.0 -6.0 -8.0 -1.0 0.5 0.5 -0.5
-5.0 3.0 1.0 2.0 -5.0 8.0 -7.0 -7.0 7.0 2.5 -3.5 3.5
-10.0 1.0 2.0 3.0 0.0 7.0 -5.0 -7.0 11.0 4.0 -5.5 5.5
-10.0 0.0 5.0 4.0 -2.0 4.0 -7.0 -5.0 11.0 3.0 -5.5 5.5
-9.0 0.0 1.0 1.0 -2.0 6.0 -9.0 -5.0 9.0 7.5 -4.5 4.5
-10.0 -3.0 -1.0 -3.0 -5.0 -5.0 -9.0 -5.0 11.0 6.5 -5.5 5.5
-10.0 -0.0 -4.0 -9.0 -8.0 -9.0 -13.0 -5.0 2.0 5.5 -1.0 1.0
-2.0 0.0 -6.0 -10.0 -9.0 -9.0 -13.0 -6.0 -4.0 1.0 2.0 -2.0
3.0 1.0 -7.0 -9.0 -10.0 -8.0 -12.0 -5.0 1.0 1.0 -0.5 0.5
-4.0 -0.0 -5.0 -7.0 -5.0 -6.0 -12.0 -5.0 -0.0 4.0 0.0 -0.0
1.0 -2.0 -5.0 -5.0 -2.0 2.0 -6.0 -2.0 1.0 -0.5 -0.5 0.5
-5.0 -1.0 2.0 0.0 -1.0 7.0 -6.0 0.0 8.0 4.0 -4.0 4.0
-13.0 -1.0 4.0 3.0 2.0 11.0 -2.0 -1.0 11.0 8.0 -5.5 5.5
-15.0 -2.0 6.0 6.0 2.0 18.0 -5.0 3.0 11.0 7.5 -5.5 5.5
-9.0 -1.0 3.0 4.0 2.0 13.0 -4.0 1.0 8.0 7.0 -4.0 4.0
-11.0 -3.0 1.0 3.0 -3.0 1.0 -8.0 -3.0 3.0 6.5 -1.5 1.5
-6.0 -3.0 -5.0 -3.0 -5.0 -5.0 -14.0 -6.0 -2.0 4.0 1.0 -1.0
6.0 -0.0 -9.0 -7.0 -8.0 -9.0 -11.0 -5.0 -10.0 1.0 5.0 -5.0
6.0 -0.0 -5.0 -8.0 -8.0 -2.0 -10.0 -6.0 -9.0 -1.0 4.5 -4.5
5.0 -1.0 -1.0 -5.0 -8.0 5.0 -7.0 -4.0 -8.0 -0.5 4.0 -4.0
3.0 -0.0 -3.0 -0.0 -3.0 11.0 -5.0 -2.0 -2.0 -1.0 1.0 -1.0
-3.0 4.0 4.0 6.0 2.0 19.0 -2.0 1.0 5.0 2.5 -2.5 2.5
-6.0 1.0 7.0 6.0 4.0 19.0 0.0 -1.0 9.0 2.0 -4.5 4.5
-12.0 -0.0 2.0 7.0 5.0 19.0 2.0 -0.0 13.0 2.5 -6.5 6.5
-11.0 1.0 7.0 7.0 3.0 17.0 1.0 3.0 10.0 5.5 -5.0 5.0
-11.0 -0.0 1.0 6.0 1.0 13.0 -1.0 1.0 14.0 7.0 -7.0 7.0
-6.0 -3.0 -2.0 2.0 -4.0 10.0 -3.0 -0.0 -0.0 3.0 0.0 -0.0
-2.0 -1.0 -4.0 -2.0 -6.0 7.0 -7.0 -5.0 -1.0 0.5 0.5 -0.5
2.0 0.0 -6.0 -4.0 -6.0 3.0 -5.0 -2.0 -6.0 0.5 3.0 -3.0
-1.0 -0.0 -3.0 -3.0 -4.0 4.0 -3.0 2.0 -2.0 0.0 1.0 -1.0
2.0 2.0 1.0 1.0 1.0 13.0 -1.0 5.0 -2.0 -0.5 1.0 -1.0
1.0 4.0 6.0 5.0 2.0 17.0 1.0 3.0 4.0 -3.0 -2.0 2.0
-10.0 2.0 7.0 7.0 2.0 17.0 3.0 2.0 13.0 1.5 -6.5 6.5
-8.0 2.0 7.0 11.0 5.0 19.0 3.0 5.0 13.0 1.0 -6.5 6.5
-7.0 0.0 5.0 6.0 2.0 17.0 -1.0 2.0 12.0 1.0 -6.0 6.0
-6.0 2.0 2.0 6.0 0.0 6.0 -3.0 -3.0 3.0 1.0 -1.5 1.5
-2.0 1.0 -4.0 3.0 -2.0 -1.0 -5.0 -4.0 1.0 1.5 -0.5 0.5
5.0 -0.0 -6.0 -4.0 -6.0 -6.0 -5.0 -1.0 -9.0 -0.5 4.5 -4.5
5.0 2.0 -6.0 -1.0 -5.0 -6.0 -3.0 -0.0 -5.0 -2.0 2.5 -2.5
4.0 2.0 -3.0 1.0 -2.0 0.0 -1.0 4.0 -5.0 -2.5 2.5 -2.5
3.0 4.0 1.0 3.0 2.0 10.0 2.0 7.0 -3.0 -1.5 1.5 -1.5
-1.0 5.0 4.0 9.0 5.0 15.0 5.0 7.0 4.0 -3.0 -2.0 2.0
1.0 5.0 5.0 12.0 6.0 15.0 8.0 9.0 11.0 -1.5 -5.5 5.5
-7.0 4.0 3.0 12.0 7.0 18.0 12.0 8.0 13.0 -0.5 -6.5 6.5
-4.0 5.0 -1.0 9.0 6.0 16.0 4.0 9.0 14.0 -1.0 -7.0 7.0
-1.0 4.0 -2.0 8.0 4.0 6.0 2.0 8.0 9.0 -0.5 -4.5 4.5
1.0 5.0 -5.0 4.0 1.0 2.0 2.0 8.0 3.0 -0.5 -1.5 1.5
8.0 4.0 -6.0 2.0 0.0 1.0 4.0 6.0 -5.0 -4.0 2.5 -2.5
7.0 4.0 -5.0 2.0 -1.0 7.0 6.0 9.0 -3.0 -6.5 1.5 -1.5
11.0 4.0 -4.0 1.0 0.0 7.0 8.0 6.0 -6.0 -6.5 3.0 -3.0
15.0 6.0 -2.0 4.0 0.0 12.0 10.0 7.0 -6.0 -11.5 3.0 -3.0
11.0 8.0 1.0 6.0 6.0 16.0 12.0 10.0 -2.0 -12.0 1.0 -1.0
9.0 9.0 2.0 14.0 10.0 23.0 15.0 13.0 7.0 -6.5 -3.5 3.5
2.0 7.0 -4.0 16.0 10.0 28.0 14.0 12.0 11.0 -4.5 -5.5 5.5
2.0 8.0 -7.0 14.0 11.0 31.0 10.0 10.0 4.0 -7.0 -2.0 2.0
7.0 9.0 -7.0 12.0 10.0 24.0 10.0 9.0 2.0 -8.0 -1.0 1.0
9.0 9.0 -12.0 10.0 7.0 25.0 10.0 9.0 -1.0 -7.5 0.5 -0.5
13.0 10.0 -13.0 8.0 5.0 18.0 13.0 11.0 -7.0 -11.5 3.5 -3.5
17.0 12.0 -10.0 10.0 8.0 18.0 17.0 20.0 -6.0 -16.0 3.0 -3.0
16.0 13.0 -11.0 11.0 10.0 21.0 19.0 22.0 -1.0 -16.0 0.5 -0.5
19.0 16.0 -8.0 13.0 12.0 30.0 22.0 23.0 -1.0 -17.5 0.5 -0.5
16.0 17.0 -5.0 17.0 16.0 41.0 24.0 25.0 1.0 -18.0 -0.5 0.5
12.0 18.0 -3.0 20.0 19.0 42.0 26.0 25.0 8.0 -16.0 -4.0 4.0
13.0 17.0 -8.0 18.0 17.0 42.0 28.0 29.0 7.0 -17.0 -3.5 3.5
18.0 18.0 -10.0 16.0 17.0 36.0 27.0 28.0 -1.0 -17.5 0.5 -0.5
16.0 16.0 -14.0 12.0 14.0 30.0 25.0 28.0 -3.0 -14.5 1.5 -1.5
24.0 18.0 -17.0 10.0 12.0 26.0 22.0 30.0 -11.0 -19.5 5.5 -5.5
25.0 19.0 -22.0 10.0 12.0 23.0 24.0 32.0 -12.0 -22.5 6.0 -6.0
26.0 20.0 -19.0 10.0 12.0 23.0 31.0 34.0 -10.0 -24.0 5.0 -5.0
29.0 23.0 -18.0 11.0 14.0 25.0 33.0 34.0 -6.0 -26.0 3.0 -3.0
29.0 25.0 -17.0 15.0 17.0 29.0 37.0 37.0 -4.0 -27.0 2.0 -2.0
28.0 26.0 -15.0 18.0 19.0 43.0 41.0 39.0 -3.0 -26.0 1.5 -1.5
24.0 26.0 -16.0 20.0 20.0 46.0 42.0 43.0 3.0 -26.0 -1.5 1.5
21.0 26.0 -16.0 20.0 21.0 41.0 44.0 42.0 8.0 -26.0 -4.0 4.0
23.0 28.0 -15.0 23.0 22.0 33.0 41.0 41.0 3.0 -25.0 -1.5 1.5
28.0 28.0 -17.0 19.0 21.0 33.0 39.0 40.0 0.0 -28.0 -0.0 0.0
36.0 30.0 -21.0 12.0 17.0 27.0 39.0 38.0 -8.0 -33.0 4.0 -4.0
43.0 31.0 -31.0 10.0 14.0 24.0 36.0 39.0 -19.0 -34.5 9.5 -9.5
48.0 31.0 -33.0 9.0 16.0 28.0 39.0 43.0 -16.0 -39.0 8.0 -8.0
48.0 33.0 -33.0 12.0 16.0 33.0 45.0 47.0 -16.0 -38.5 8.0 -8.0
44.0 35.0 -29.0 13.0 20.0 34.0 50.0 49.0 -9.0 -39.5 4.5 -4.5
36.0 37.0 -24.0 17.0 23.0 50.0 58.0 52.0 5.0 -38.5 -2.5 2.5
30.0 38.0 -20.0 21.0 25.0 51.0 59.0 53.0 2.0 -36.0 -1.0 1.0
30.0 38.0 -22.0 21.0 27.0 51.0 61.0 55.0 7.0 -34.5 -3.5 3.5
43.0 38.0 -23.0 21.0 26.0 48.0 58.0 53.0 -3.0 -40.5 1.5 -1.5
39.0 38.0 -28.0 17.0 22.0 42.0 54.0 53.0 -2.0 -38.5 1.0 -1.0
